Source,Target,Year,Book,Lot
Kemble,Devonshire,1798,779,
Steeves,G.D.Smith,1916,780,329
James Perry,Jolley,1823,769,303
Bright,Comerford,1845,770,4109
Jones,Clawson,1923,767,44
H.G.Read,McKee,,769,
Bridgewater,Huntington,,772,
Sotheby’s,G.D.Smith,1904,769,583
Devonshire,Huntington,,779,
R.S.Turner,Charles Butler of Warren Wood,1888,780,3018
Ouvry,Locker,1882,781,1097
Heber,Britwell,1834,773,1865
McKee,Sotheby’s,1901,769,
Comerford,G.D.Smith,1881,770,2839
E.D.Church,Huntington,,771,
Charles Butler of Warren Wood,Steeves,1911,780,844
Scott’s Cat.,James Perry,1804,769,550
Jolley,Charles Clark of Totham Hall,1844,769,1614
Charles Clark of Totham Hall,H.G.Read,,769,
C.L.F. Robinson,Chew,1917,781,467
Locker,Hoe,,781,
Hoe,C.L.F. Robinson,1912,781,2468
Mostyn,Clawson,1919,520,71
Sir Henry Spelman,Rev. Cox Macro,1709,MS. 40A,
G.D.Smith,Clawson,1920,521,358
Tite,Huth,1874,527,1586
Inglis,Britwell,1826,529,764
Mostyn,Clawson,1919,526,361
Bliss,Hoe,1858,530,1499
Mostyn,G.D.Smith,1919,521,347
Mostyn,Clawson,1919,518,171
Jones,Clawson,1919,523,
Puttick’s,Jones,1918,523,182
Rev. Cox Macro,"John Pattenson, M.P. for Norwich",,MS. 40A,
"John Pattenson, M.P. for Norwich",Hudson Gurney,1820,MS. 40A,
Hoe,Huntington,1912,530,1653
Mostyn,Clawson,1919,524,338
Corser,Tite,1869,527,712
Huth,Jones,1914,527,3978
Hoe,Huntington,1912,806,2599
Devonshire,Huntington,,804,
M.J.Perry,Jones,,805,
Sotheby’s,Sotheby’s,1901,808,
Heber,Britwell,1834,807,2007t
Kemble,Devonshire,1798,804,
Pulsford,Titus,1914,809,583
James E. Matthew,Pulsford,,809,
Locker,M.J.Perry,,805,
Bridgewater,Huntington,,817,
Sotheby’s,Shakespeare Library,1916,808,
Huth,White,1912,151,1476
Narcissus Luttrell,Farmer,,160,
Herber,Britwell,1834,153,342
Devonshire,Huntington,,148,
Freeling,Corser,1836,151,866
